,id,eigenval,mingap
0,erdos_0.75_0_M5,3,1.7029353205418545
1,erdos_0.75_1_M5,1,1.6935099386735004
2,erdos_0.75_2_M5,1,1.693509938673678
3,erdos_0.75_3_M5,1,1.0481274976522457
4,erdos_0.75_4_M5,3,1.7029353205411795
5,erdos_0.75_5_M5,4,1.7503654788894352
6,erdos_0.75_6_M5,4,1.750365478889222
7,erdos_0.75_7_M5,5,1.5749120188169599
8,erdos_0.75_8_M5,2,1.2010701829905628
9,erdos_0.75_9_M5,2,1.4931745549309383
10,erdos_0.75_10_M5,2,1.4931745549312367
11,erdos_0.75_11_M5,2,1.493174554932466
12,erdos_0.75_12_M5,1,1.0481274976522457
13,erdos_0.75_13_M5,1,1.0481274976512651
14,erdos_0.75_14_M5,1,1.0481274976512651
15,erdos_0.75_15_M5,1,1.4510619456965657
16,erdos_0.75_16_M5,5,1.5749120188169599
17,erdos_0.75_17_M5,3,1.7029353205393392
18,erdos_0.75_18_M5,5,1.5749120188169599
19,erdos_0.75_19_M5,2,1.2010701829911739
20,erdos_0.75_20_M5,1,1.2347633864037846
21,erdos_0.75_21_M5,2,1.4931745549298583
22,erdos_0.75_22_M5,3,1.7029353205403623
23,erdos_0.75_23_M5,3,1.666529940894037
24,erdos_0.75_24_M5,3,1.702935320540199
25,erdos_0.75_25_M5,1,1.4569012119821494
26,erdos_0.75_26_M5,2,1.4931745549298583
27,erdos_0.75_27_M5,3,1.4426974904340781
28,erdos_0.75_28_M5,1,1.0481274976511656
29,erdos_0.75_29_M5,2,1.4931745549321604
30,erdos_0.75_30_M5,1,1.0481274976519899
31,erdos_0.75_31_M5,1,1.0481274976522457
32,erdos_0.75_32_M5,2,1.4931745549327786
33,erdos_0.75_33_M5,3,1.7029353205420747
34,erdos_0.75_34_M5,4,1.7503654788892717
35,erdos_0.75_35_M5,1,1.2347633864044028
36,erdos_0.75_36_M5,5,1.949856394049199
37,erdos_0.75_37_M5,2,1.2010701829889996
38,erdos_0.75_38_M5,5,1.5749120188169599
39,erdos_0.75_39_M5,1,1.0481274976511656
40,erdos_0.75_40_M5,3,1.66652994089241
41,erdos_0.75_41_M5,1,1.0481274976512651
42,erdos_0.75_42_M5,1,1.0481274976512651
43,erdos_0.75_43_M5,1,1.048127497651592
44,erdos_0.75_44_M5,1,1.048127497651592
45,erdos_0.75_45_M5,5,1.5749120188169599
46,erdos_0.75_46_M5,3,1.442697490432984
47,erdos_0.75_47_M5,5,1.5749120188169599
48,erdos_0.75_48_M5,1,1.4569012119822204
49,erdos_0.75_49_M5,1,1.0481274976512651
50,erdos_0.75_50_M5,1,1.048127497651592
51,erdos_0.75_51_M5,3,1.6665299408919765
52,erdos_0.75_52_M5,1,1.4569012119826965
53,erdos_0.75_53_M5,3,1.66652994089241
54,erdos_0.75_54_M5,3,1.4426974904338223
55,erdos_0.75_55_M5,3,1.4426974904340497
56,erdos_0.75_56_M5,3,1.6665299408944918
57,erdos_0.75_57_M5,1,1.693509938671852
58,erdos_0.75_58_M5,3,1.6665299408923815
59,erdos_0.75_59_M5,4,1.7995384681975182
60,erdos_0.75_60_M5,4,1.799538468197909
61,erdos_0.75_61_M5,1,1.048127497651592
62,erdos_0.75_62_M5,1,1.4569012119827676
63,erdos_0.75_63_M5,1,1.048127497651592
64,erdos_0.75_64_M5,4,1.7503654788889165
65,erdos_0.75_65_M5,2,1.201070182989902
66,erdos_0.75_66_M5,2,1.2010701829894543
67,erdos_0.75_67_M5,1,1.4569012119821494
68,erdos_0.75_68_M5,1,1.6935099386730954
69,erdos_0.75_69_M5,1,1.45690121198286
70,erdos_0.75_70_M5,2,1.4931745549313362
71,erdos_0.75_71_M5,3,1.4426974904318826
72,erdos_0.75_72_M5,2,1.493174554932466
73,erdos_0.75_73_M5,5,1.5749120188169599
74,erdos_0.75_74_M5,3,1.6665299408915075
75,erdos_0.75_75_M5,2,1.4931745549327786
76,erdos_0.75_76_M5,2,1.4931745549304267
77,erdos_0.75_77_M5,2,1.4931745549316133
78,erdos_0.75_78_M5,3,1.7029353205402913
79,erdos_0.75_79_M5,1,1.0481274976519899
80,erdos_0.75_80_M5,3,1.6665299408923815
81,erdos_0.75_81_M5,3,1.7029353205407318
82,erdos_0.75_82_M5,4,1.7503654788897052
83,erdos_0.75_83_M5,2,1.4931745549326507
84,erdos_0.75_84_M5,2,1.493174554933674
85,erdos_0.75_85_M5,3,1.442697490433531
86,erdos_0.75_86_M5,4,1.750365478889023
87,erdos_0.75_87_M5,1,1.048127497651592
88,erdos_0.75_88_M5,3,1.7029353205399573
89,erdos_0.75_89_M5,3,1.7029353205407318
90,erdos_0.75_90_M5,2,1.4931745549332263
91,erdos_0.75_91_M5,3,1.7029353205399502
92,erdos_0.75_92_M5,1,1.693509938673607
93,erdos_0.75_93_M5,1,1.048127497654093
94,erdos_0.75_94_M5,3,1.6665299408935397
95,erdos_0.75_95_M5,3,1.7029353205409734
96,erdos_0.75_96_M5,3,1.7029353205399929
97,erdos_0.75_97_M5,1,1.4510619456969778
98,erdos_0.75_98_M5,1,1.0481274976518478
99,erdos_0.75_99_M5,2,1.2010701829901222
