,id,eigenval,mingap
0,erdos_0.25_0_M5,1,3.346768989071247
1,erdos_0.25_1_M5,2,2.464638259545861
2,erdos_0.25_2_M5,1,2.4646382595458842
3,erdos_0.25_3_M5,2,2.8242757965256757
4,erdos_0.25_4_M5,5,3.6331773443920063
5,erdos_0.25_5_M5,2,3.3467689890712604
6,erdos_0.25_6_M5,2,3.3467689890712533
7,erdos_0.25_7_M5,2,2.824275796525672
8,erdos_0.25_8_M5,1,2.0284251328962295
9,erdos_0.25_9_M5,3,3.34676898907124
10,erdos_0.25_10_M5,4,3.3467689890712524
11,erdos_0.25_11_M5,2,3.3467689890712604
12,erdos_0.25_12_M5,4,3.346768989071246
13,erdos_0.25_13_M5,1,2.028425132896265
14,erdos_0.25_14_M5,2,3.3467689890712506
15,erdos_0.25_15_M5,2,2.464638259545895
16,erdos_0.25_16_M5,2,3.346768989071263
17,erdos_0.25_17_M5,1,2.464638259545854
18,erdos_0.25_18_M5,1,2.464638259545877
19,erdos_0.25_19_M5,2,3.346768989071254
20,erdos_0.25_20_M5,2,3.3467689890712506
21,erdos_0.25_21_M5,2,2.4646382595458824
22,erdos_0.25_22_M5,1,1.9724345574786568
23,erdos_0.25_23_M5,3,3.346768989071272
24,erdos_0.25_24_M5,6,3.818277402417934
25,erdos_0.25_25_M5,1,2.464638259545879
26,erdos_0.25_26_M5,2,2.824275796525656
27,erdos_0.25_27_M5,2,2.464638259545877
28,erdos_0.25_28_M5,1,2.336288985213482
29,erdos_0.25_29_M5,2,3.346768989071263
30,erdos_0.25_30_M5,4,3.3467689890712666
31,erdos_0.25_31_M5,1,2.401245200748143
32,erdos_0.25_32_M5,3,3.3467689890712347
33,erdos_0.25_33_M5,2,3.346768989071254
34,erdos_0.25_34_M5,2,3.3467689890712506
35,erdos_0.25_35_M5,1,3.346768989071247
36,erdos_0.25_36_M5,1,2.4646382595458753
37,erdos_0.25_37_M5,4,3.3467689890712524
38,erdos_0.25_38_M5,4,3.3467689890712524
39,erdos_0.25_39_M5,2,2.4646382595458984
40,erdos_0.25_40_M5,4,3.346768989071246
41,erdos_0.25_41_M5,1,2.46463825954587
42,erdos_0.25_42_M5,2,2.9304329013445756
43,erdos_0.25_43_M5,2,2.4646382595458984
44,erdos_0.25_44_M5,4,3.3859036105612184
45,erdos_0.25_45_M5,2,2.8242757965256633
46,erdos_0.25_46_M5,3,3.3467689890712418
47,erdos_0.25_47_M5,1,3.300396395466425
48,erdos_0.25_48_M5,3,3.346768989071254
49,erdos_0.25_49_M5,5,3.6331773443919992
50,erdos_0.25_50_M5,1,3.3003963954664233
51,erdos_0.25_51_M5,3,3.3467689890712613
52,erdos_0.25_52_M5,1,2.464638259545886
53,erdos_0.25_53_M5,2,3.3467689890712506
54,erdos_0.25_54_M5,2,3.3467689890712524
55,erdos_0.25_55_M5,1,2.464638259545879
56,erdos_0.25_56_M5,1,2.4646382595458434
57,erdos_0.25_57_M5,3,3.346768989071249
58,erdos_0.25_58_M5,1,2.4646382595458682
59,erdos_0.25_59_M5,2,2.464638259545879
60,erdos_0.25_60_M5,1,3.346768989071247
61,erdos_0.25_61_M5,1,3.346768989071247
62,erdos_0.25_62_M5,3,3.346768989071254
63,erdos_0.25_63_M5,2,2.824275796525672
64,erdos_0.25_64_M5,4,3.346768989071255
65,erdos_0.25_65_M5,2,3.3467689890712506
66,erdos_0.25_66_M5,1,2.464638259545879
67,erdos_0.25_67_M5,2,2.464638259545861
68,erdos_0.25_68_M5,2,3.3467689890712533
69,erdos_0.25_69_M5,1,2.46463825954587
70,erdos_0.25_70_M5,4,3.346768989071249
71,erdos_0.25_71_M5,2,2.824275796525667
72,erdos_0.25_72_M5,2,3.3467689890712506
73,erdos_0.25_73_M5,1,2.464638259545854
74,erdos_0.25_74_M5,1,2.4646382595458842
75,erdos_0.25_75_M5,2,3.3467689890712373
76,erdos_0.25_76_M5,1,3.300396395466432
77,erdos_0.25_77_M5,2,2.4646382595458576
78,erdos_0.25_78_M5,2,2.4646382595458913
79,erdos_0.25_79_M5,1,2.336288985213475
80,erdos_0.25_80_M5,1,3.346768989071247
81,erdos_0.25_81_M5,2,3.3467689890712524
82,erdos_0.25_82_M5,4,3.3467689890712666
83,erdos_0.25_83_M5,1,1.8665107237214542
84,erdos_0.25_84_M5,3,3.346768989071247
85,erdos_0.25_85_M5,3,3.3467689890712613
86,erdos_0.25_86_M5,3,3.346768989071256
87,erdos_0.25_87_M5,2,2.4646382595458824
88,erdos_0.25_88_M5,1,2.464638259545879
89,erdos_0.25_89_M5,3,3.346768989071233
90,erdos_0.25_90_M5,1,2.4646382595458753
91,erdos_0.25_91_M5,2,2.85948932170888
92,erdos_0.25_92_M5,1,3.346768989071247
93,erdos_0.25_93_M5,1,2.028425132896251
94,erdos_0.25_94_M5,1,2.4646382595458682
95,erdos_0.25_95_M5,2,2.8242757965256793
96,erdos_0.25_96_M5,4,3.3467689890712524
97,erdos_0.25_97_M5,4,3.3467689890712666
98,erdos_0.25_98_M5,3,3.346768989071256
99,erdos_0.25_99_M5,1,3.3003963954664144
