,formulation,chain_strength,embedding,chain_breaks,chain_breaks_err,min_fraction,embedding_fixed,chain_breaks_fixed,chain_breaks_err_fixed,min_fraction_fixed
0,l,0.01,"{0: [1616, 5003], 3: [1601, 4973], 's_0_3': [4988], 7: [5093, 1632], 's_0_7': [5108], 8: [5063], 's_0_8': [1661], 's_0_0': [1690], 2: [1646], 's_3_2': [4958], 5: [5079, 5078], 's_3_5': [1571], 's_3_7': [5123], 's_3_8': [1586], 's_3_3': [1540], 's_7_7': [5092], 's_8_2': [1631], 's_8_8': [1676], 's_2_2': [4943], 6: [1706], 's_5_6': [1691], 9: [1736], 's_5_9': [5094], 's_5_5': [1842], 's_6_6': [5183], 4: [5139], 's_9_4': [1721], 's_9_9': [5049], 's_4_4': [1797], 1: [1284], 's_1_1': [4611]}",0.00909842845326716,0.014516070119755373,0.4,"{0: [1041], 3: [4084, 1026], 's_0_3': [4160], 7: [4070], 's_0_7': [4055], 8: [4129], 's_0_8': [4114], 's_0_0': [1042], 2: [876], 's_3_2': [4099], 5: [980], 's_3_5': [965], 's_3_7': [1010], 's_3_8': [936], 's_3_3': [1027], 's_7_7': [1101], 's_8_2': [891], 's_8_8': [4128], 's_2_2': [875], 6: [3964], 's_5_6': [3979], 9: [4009], 's_5_9': [3994], 's_5_5': [979], 's_6_6': [3963], 4: [860], 's_9_4': [845], 's_9_9': [890], 's_4_4': [859], 1: [2754], 's_1_1': [4664]}",0.0,0.0,0.61
1,l,0.02,"{0: [4645, 2124], 3: [4690, 4691], 's_0_3': [1959], 7: [2004], 's_0_7': [4630], 8: [2109, 4601], 's_0_8': [2048], 's_0_0': [4766], 2: [2019], 's_3_2': [2034], 5: [1913, 1914], 's_3_5': [1899], 's_3_7': [1989], 's_3_8': [2184], 's_3_3': [2154], 's_7_7': [4600], 's_8_2': [4660], 's_8_8': [2078], 's_2_2': [2018], 6: [4780], 's_5_6': [4795], 9: [4479], 's_5_9': [1898], 's_5_5': [4659], 's_6_6': [2005], 4: [4494], 's_9_4': [1883], 's_9_9': [1793], 's_4_4': [4493], 1: [595], 's_1_1': [4877]}",0.0020161290322580645,0.00780843416574076,0.83,"{0: [1041], 3: [4084, 1026], 's_0_3': [4160], 7: [4070], 's_0_7': [4055], 8: [4129], 's_0_8': [4114], 's_0_0': [1042], 2: [876], 's_3_2': [4099], 5: [980], 's_3_5': [965], 's_3_7': [1010], 's_3_8': [936], 's_3_3': [1027], 's_7_7': [1101], 's_8_2': [891], 's_8_8': [4128], 's_2_2': [875], 6: [3964], 's_5_6': [3979], 9: [4009], 's_5_9': [3994], 's_5_5': [979], 's_6_6': [3963], 4: [860], 's_9_4': [845], 's_9_9': [890], 's_4_4': [859], 1: [2754], 's_1_1': [4664]}",0.0,0.0,0.58
2,l,0.05,"{0: [3676, 258], 3: [168, 3630], 's_0_3': [3645], 7: [243], 's_0_7': [3720], 8: [3585], 's_0_8': [318], 's_0_0': [333], 2: [3555, 153], 's_3_2': [3615], 5: [199], 's_3_5': [3660], 's_3_7': [3600], 's_3_8': [3570], 's_3_3': [3675], 's_7_7': [3735], 's_8_2': [228], 's_8_8': [273], 's_2_2': [242], 6: [184], 's_5_6': [3780], 9: [3765], 's_5_9': [3750], 's_5_5': [3795], 's_6_6': [3705], 4: [169], 's_9_4': [154], 's_9_9': [274], 's_4_4': [3825], 1: [1725], 's_1_1': [3084]}",0.0020161290322580645,0.00780843416574076,0.6,"{0: [1041], 3: [4084, 1026], 's_0_3': [4160], 7: [4070], 's_0_7': [4055], 8: [4129], 's_0_8': [4114], 's_0_0': [1042], 2: [876], 's_3_2': [4099], 5: [980], 's_3_5': [965], 's_3_7': [1010], 's_3_8': [936], 's_3_3': [1027], 's_7_7': [1101], 's_8_2': [891], 's_8_8': [4128], 's_2_2': [875], 6: [3964], 's_5_6': [3979], 9: [4009], 's_5_9': [3994], 's_5_5': [979], 's_6_6': [3963], 4: [860], 's_9_4': [845], 's_9_9': [890], 's_4_4': [859], 1: [2754], 's_1_1': [4664]}",0.0,0.0,0.64
3,l,0.1,"{0: [1522, 4462], 3: [4492, 1463], 's_0_3': [1568], 7: [4357], 's_0_7': [1448], 8: [1418], 's_0_8': [1433], 's_0_0': [4342], 2: [4507], 's_3_2': [1523], 5: [4297, 1462], 's_3_5': [1432, 4402], 's_3_7': [4372], 's_3_8': [4432], 's_3_3': [1464], 's_7_7': [1417], 's_8_2': [4522], 's_8_8': [4537], 's_2_2': [1373], 6: [1552], 's_5_6': [4312], 9: [4177], 's_5_9': [1492], 's_5_5': [4222], 's_6_6': [4418], 4: [1506], 's_9_4': [1521], 's_9_9': [4178], 's_4_4': [4162], 1: [4341], 's_1_1': [1252]}",0.0039100684261974585,0.010528181441123175,0.58,"{0: [1522, 4462], 3: [4492, 1463], 's_0_3': [1568], 7: [4357], 's_0_7': [1448], 8: [1418], 's_0_8': [1433], 's_0_0': [4342], 2: [4507], 's_3_2': [1523], 5: [4297, 1462], 's_3_5': [1432, 4402], 's_3_7': [4372], 's_3_8': [4432], 's_3_3': [1464], 's_7_7': [1417], 's_8_2': [4522], 's_8_8': [4537], 's_2_2': [1373], 6: [1552], 's_5_6': [4312], 9: [4177], 's_5_9': [1492], 's_5_5': [4222], 's_6_6': [4418], 4: [1506], 's_9_4': [1521], 's_9_9': [4178], 's_4_4': [4162], 1: [4341], 's_1_1': [1252]}",0.0039100684261974585,0.010528181441123175,0.58
4,l,0.2,"{0: [5026], 3: [446, 5041], 's_0_3': [341], 7: [5011], 's_0_7': [416], 8: [371, 4981], 's_0_8': [386], 's_0_0': [356], 2: [506, 5102], 's_3_2': [431], 5: [296, 5101], 's_3_5': [5071], 's_3_7': [401], 's_3_8': [445], 's_3_3': [5132], 's_7_7': [5012], 's_8_2': [491], 's_8_8': [370], 's_2_2': [567], 6: [311], 's_5_6': [326], 9: [266], 's_5_9': [251], 's_5_5': [222], 's_6_6': [4966], 4: [5085], 's_9_4': [5070], 's_9_9': [5010], 's_4_4': [207], 1: [3449], 's_1_1': [2732]}",0.0,0.0,0.64,"{0: [5026], 3: [446, 5041], 's_0_3': [341], 7: [5011], 's_0_7': [416], 8: [371, 4981], 's_0_8': [386], 's_0_0': [356], 2: [506, 5102], 's_3_2': [431], 5: [296, 5101], 's_3_5': [5071], 's_3_7': [401], 's_3_8': [445], 's_3_3': [5132], 's_7_7': [5012], 's_8_2': [491], 's_8_8': [370], 's_2_2': [567], 6: [311], 's_5_6': [326], 9: [266], 's_5_9': [251], 's_5_5': [222], 's_6_6': [4966], 4: [5085], 's_9_4': [5070], 's_9_9': [5010], 's_4_4': [207], 1: [3449], 's_1_1': [2732]}",0.0,0.0,0.64
5,l,0.5,"{0: [5196, 1332], 3: [1377, 1376], 's_0_3': [5211], 7: [5361], 's_0_7': [1347], 8: [1362], 's_0_8': [5287], 's_0_0': [1333], 2: [1453, 5332], 's_3_2': [5317], 5: [5031, 1391], 's_3_5': [5047], 's_3_7': [5346], 's_3_8': [5302], 's_3_3': [5227], 's_7_7': [1258], 's_8_2': [5257], 's_8_8': [1363], 's_2_2': [5333], 6: [4986], 's_5_6': [5001], 9: [5092], 's_5_9': [1406], 's_5_5': [4957], 's_6_6': [1330], 4: [5077], 's_9_4': [1511], 's_9_9': [1421], 's_4_4': [5076], 1: [4440], 's_1_1': [262]}",0.0,0.0,0.48,"{0: [5196, 1332], 3: [1377, 1376], 's_0_3': [5211], 7: [5361], 's_0_7': [1347], 8: [1362], 's_0_8': [5287], 's_0_0': [1333], 2: [1453, 5332], 's_3_2': [5317], 5: [5031, 1391], 's_3_5': [5047], 's_3_7': [5346], 's_3_8': [5302], 's_3_3': [5227], 's_7_7': [1258], 's_8_2': [5257], 's_8_8': [1363], 's_2_2': [5333], 6: [4986], 's_5_6': [5001], 9: [5092], 's_5_9': [1406], 's_5_5': [4957], 's_6_6': [1330], 4: [5077], 's_9_4': [1511], 's_9_9': [1421], 's_4_4': [5076], 1: [4440], 's_1_1': [262]}",0.0,0.0,0.48
6,l,1.0,"{0: [3907, 1549], 3: [1534, 3922], 's_0_3': [1430], 7: [3772], 's_0_7': [1519], 8: [1564, 3818], 's_0_8': [3833], 's_0_0': [3908], 2: [3863], 's_3_2': [3848], 5: [3803], 's_3_5': [3788], 's_3_7': [1504], 's_3_8': [3757], 's_3_3': [1415], 's_7_7': [1429], 's_8_2': [1579], 's_8_8': [3819], 's_2_2': [3862], 6: [1699], 's_5_6': [1684], 9: [1639], 's_5_9': [1624], 's_5_5': [1609], 's_6_6': [3773], 4: [3713], 's_9_4': [3698], 's_9_9': [3728], 's_4_4': [1594], 1: [3646], 's_1_1': [348]}",0.0,0.0,0.5,"{0: [3907, 1549], 3: [1534, 3922], 's_0_3': [1430], 7: [3772], 's_0_7': [1519], 8: [1564, 3818], 's_0_8': [3833], 's_0_0': [3908], 2: [3863], 's_3_2': [3848], 5: [3803], 's_3_5': [3788], 's_3_7': [1504], 's_3_8': [3757], 's_3_3': [1415], 's_7_7': [1429], 's_8_2': [1579], 's_8_8': [3819], 's_2_2': [3862], 6: [1699], 's_5_6': [1684], 9: [1639], 's_5_9': [1624], 's_5_5': [1609], 's_6_6': [3773], 4: [3713], 's_9_4': [3698], 's_9_9': [3728], 's_4_4': [1594], 1: [3646], 's_1_1': [348]}",0.0,0.0,0.5
7,l,2.0,"{0: [3564, 1862], 3: [3535, 3534], 's_0_3': [1788], 7: [1818], 's_0_7': [3474], 8: [3490, 1892], 's_0_8': [1833], 's_0_0': [3444], 2: [1907], 's_3_2': [3520], 5: [3610, 1953], 's_3_5': [1968], 's_3_7': [3519], 's_3_8': [1877], 's_3_3': [1727], 's_7_7': [3624], 's_8_2': [3445], 's_8_8': [1848], 's_2_2': [1906], 6: [1923], 's_5_6': [1938], 9: [1893], 's_5_9': [1908], 's_5_5': [3595], 's_6_6': [3655], 4: [3685], 's_9_4': [3670], 's_9_9': [3640], 's_4_4': [1849], 1: [3711], 's_1_1': [1173]}",0.0,0.0,0.01,"{0: [3564, 1862], 3: [3535, 3534], 's_0_3': [1788], 7: [1818], 's_0_7': [3474], 8: [3490, 1892], 's_0_8': [1833], 's_0_0': [3444], 2: [1907], 's_3_2': [3520], 5: [3610, 1953], 's_3_5': [1968], 's_3_7': [3519], 's_3_8': [1877], 's_3_3': [1727], 's_7_7': [3624], 's_8_2': [3445], 's_8_8': [1848], 's_2_2': [1906], 6: [1923], 's_5_6': [1938], 9: [1893], 's_5_9': [1908], 's_5_5': [3595], 's_6_6': [3655], 4: [3685], 's_9_4': [3670], 's_9_9': [3640], 's_4_4': [1849], 1: [3711], 's_1_1': [1173]}",0.0,0.0,0.01
8,l,5.0,"{0: [3791, 2209], 3: [2164, 3641], 's_0_3': [3806], 7: [3776], 's_0_7': [2134], 8: [2194, 3656], 's_0_8': [3717], 's_0_0': [3746], 2: [2223], 's_3_2': [2238], 5: [3686], 's_3_5': [2133], 's_3_7': [3761], 's_3_8': [2179], 's_3_3': [3642], 's_7_7': [3775], 's_8_2': [3731], 's_8_8': [2073], 's_2_2': [2224], 6: [2118], 's_5_6': [3671], 9: [2058], 's_5_9': [2043], 's_5_5': [3685], 's_6_6': [3580], 4: [3610], 's_9_4': [3625], 's_9_9': [3701], 's_4_4': [1908], 1: [331], 's_1_1': [3301]}",0.0,0.0,0.02,"{0: [3791, 2209], 3: [2164, 3641], 's_0_3': [3806], 7: [3776], 's_0_7': [2134], 8: [2194, 3656], 's_0_8': [3717], 's_0_0': [3746], 2: [2223], 's_3_2': [2238], 5: [3686], 's_3_5': [2133], 's_3_7': [3761], 's_3_8': [2179], 's_3_3': [3642], 's_7_7': [3775], 's_8_2': [3731], 's_8_8': [2073], 's_2_2': [2224], 6: [2118], 's_5_6': [3671], 9: [2058], 's_5_9': [2043], 's_5_5': [3685], 's_6_6': [3580], 4: [3610], 's_9_4': [3625], 's_9_9': [3701], 's_4_4': [1908], 1: [331], 's_1_1': [3301]}",0.0,0.0,0.02
9,l,10.0,"{0: [5316], 3: [1288, 5421], 's_0_3': [1228], 7: [1152, 5331], 's_0_7': [1138], 8: [1182, 5271], 's_0_8': [1197], 's_0_0': [1167], 2: [1183], 's_3_2': [1198], 5: [5376], 's_3_5': [1273], 's_3_7': [5286], 's_3_8': [5256], 's_3_3': [5361], 's_7_7': [1151], 's_8_2': [1318, 5406], 's_8_8': [5195], 's_2_2': [1184], 6: [1243], 's_5_6': [1258], 9: [1363], 's_5_9': [1378], 's_5_5': [5377], 's_6_6': [1242], 4: [5452], 's_9_4': [5437], 's_9_9': [5422], 's_4_4': [1393], 1: [4924], 's_1_1': [865]}",0.0003225806451612903,0.0032096368938923227,0.02,"{0: [5316], 3: [1288, 5421], 's_0_3': [1228], 7: [1152, 5331], 's_0_7': [1138], 8: [1182, 5271], 's_0_8': [1197], 's_0_0': [1167], 2: [1183], 's_3_2': [1198], 5: [5376], 's_3_5': [1273], 's_3_7': [5286], 's_3_8': [5256], 's_3_3': [5361], 's_7_7': [1151], 's_8_2': [1318, 5406], 's_8_8': [5195], 's_2_2': [1184], 6: [1243], 's_5_6': [1258], 9: [1363], 's_5_9': [1378], 's_5_5': [5377], 's_6_6': [1242], 4: [5452], 's_9_4': [5437], 's_9_9': [5422], 's_4_4': [1393], 1: [4924], 's_1_1': [865]}",0.0003225806451612903,0.0032096368938923227,0.02
